City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
biak,-0.9131,122.8766,80.67,76,96,3.22,ID,1618461958
shimoda,34.6667,138.95,55.4,47,75,9.22,JP,1618461958
rikitea,-23.1203,-134.9692,78.57,72,13,8.68,PF,1618461805
tromso,69.6496,18.957,33.8,93,90,17.27,NO,1618461959
port blair,11.6667,92.75,85.68,66,100,4.97,IN,1618461904
bluff,-46.6,168.3333,59,84,88,11.99,NZ,1618461959
pahalgam,34.0333,75.3333,42.62,91,100,2.86,IN,1618461960
port alfred,-33.5906,26.891,65.53,84,29,7.4,ZA,1618461960
ouesso,1.6136,16.0517,68.83,97,98,1.63,CG,1618461961
coquimbo,-29.9533,-71.3436,59,88,90,3.44,CL,1618461467
cidreira,-30.1811,-50.2056,70.43,72,91,18.81,BR,1618461917
puerto ayora,-0.7393,-90.3518,75.61,91,16,2.37,EC,1618461962
butaritari,3.0707,172.7902,81.54,77,53,7.7,KI,1618461962
norman wells,65.282,-126.8329,48.2,40,75,6.91,CA,1618461962
lavrentiya,65.5833,-171,26.15,93,98,2.77,RU,1618461963
dunedin,-45.8742,170.5036,59,79,23,4,NZ,1618461810
cape town,-33.9258,18.4232,64,94,0,12.66,ZA,1618461735
new norfolk,-42.7826,147.0587,54,73,37,7,AU,1618461963
adrar,20.5022,-10.0711,70.97,23,44,11.81,MR,1618461964
sentyabrskiy,17.8868,-77.5902,70.59,45,27,4.59,JM,1618461964
bull savanna,66.5606,67.7975,32.81,81,100,17.65,RU,1618461965
tabarqah,57.79,-152.4072,41,75,90,8.05,US,1618461965
aksarka,66.0449,-17.3389,42.8,75,0,3.44,IS,1618461966
kodiak,-53.15,-70.9167,39.2,81,0,16.11,CL,1618461966
husavik,16.5167,-98.75,78.71,71,100,4.85,MX,1618461897
punta arenas,66.8333,70.8333,31.8,93,100,13.31,RU,1618461967
tecoanapa,18.4273,-68.9728,69.19,75,3,8.28,DO,1618461924
yar-sale,45.6169,-61.3485,32,80,75,3.44,CA,1618461968
la romana,-35.6167,174.5,66.99,66,51,8.01,NZ,1618461968
buqayq,-9.8,-139.0333,81.21,70,16,19.51,PF,1618461968
port hawkesbury,72.7868,-56.1549,-13.99,100,99,1.59,GL,1618461969
ngunguru,-34.4187,19.2345,60.01,93,80,8.48,ZA,1618461969
atuona,-3.8004,102.2655,84.43,66,99,7.47,ID,1618461970
upernavik,-21.2078,-159.775,80.6,69,3,6.91,CK,1618461970
hermanus,-54.8,-68.3,42.8,61,20,5.75,AR,1618461697
bengkulu,15.5518,32.5324,80.01,11,44,1.01,SD,1618461971
avarua,34.6391,-120.4579,50,87,39,5.66,US,1618461673
vaitupu,43.6475,111.9767,35.83,63,85,39.71,CN,1618461971
ushuaia,6.6221,73.07,83.98,69,43,6.22,MV,1618461911
khartoum,-33.8667,121.9,68,64,40,13.8,AU,1618461972
lompoc,59.7035,30.7861,37,64,0,6.71,RU,1618461813
erenhot,-20.4081,57.7,78.8,89,75,3.44,MU,1618461973
kulhudhuffushi,-29.6643,17.8865,70.5,25,1,6.4,ZA,1618461974
esperance,-33.65,115.3333,72,60,14,1.99,AU,1618461974
nikolskoye,22.0752,-159.319,75.2,60,20,18.41,US,1618461946
mahebourg,-24.7117,33.8828,66.92,86,0,1.14,MZ,1618461975
tsihombe,24.1877,102.817,78.08,20,15,13.24,CN,1618461975
taolanaro,42.097,-79.2353,46,49,90,9.22,US,1618461976
springbok,-33.918,25.5701,55.4,100,6,2.3,ZA,1618461854
busselton,42.6001,-73.9662,57.99,75,94,2.08,US,1618461793
kapaa,64.8989,45.7622,34.95,68,13,11.14,RU,1618461977
manjacaze,24.9,79.6,98.42,11,100,17.96,IN,1618461977
xingyi,42.5272,125.6753,64.08,17,82,21.45,CN,1618461977
samusu,-37.6167,-73.65,54.28,89,99,4.99,CL,1618461978
jamestown,4.8845,-1.7554,79,86,100,6.91,GH,1618461825
port elizabeth,37.1041,-113.5841,63,20,1,3.44,US,1618461905
albany,-46.1927,168.8643,59,84,58,11.99,NZ,1618461978
umzimvubu,70.3705,31.1107,26.6,68,0,11.5,NO,1618461846
leshukonskoye,58.6978,81.4825,40.5,92,100,12.1,RU,1618461979
chhatarpur,24.757,121.753,73.99,95,100,6.42,TW,1618461939
meihekou,-0.6,73.0833,82.35,66,30,5.17,MV,1618461980
lebu,64.2539,-15.2082,43.56,88,100,15.9,IS,1618461980
takoradi,60.3964,-1.353,35.6,93,20,5.66,GB,1618461981
saint george,-32.035,-52.0986,68.43,75,78,15.35,BR,1618461903
mataura,-42.8794,147.3294,53.6,54,75,21.85,AU,1618461810
vardo,-24.8667,113.6333,85.51,37,0,14.27,AU,1618461981
parabel,69.4865,88.3972,15.42,90,100,9.6,RU,1618461982
yilan,32.6667,-17.1,64.4,63,20,6.91,PT,1618461892
mutsamudu,60.9167,-46.05,30.2,80,16,2.3,GL,1618461983
hithadhoo,-34.5322,20.0403,59,94,91,2.3,ZA,1618461787
hofn,-4.85,21.5667,64.06,98,100,2.17,CD,1618461983
brae,-32.7167,152.15,78.01,50,0,8.05,AU,1618461984
rio grande,9.285,105.7244,88.34,58,76,10.18,VN,1618461984
hobart,19.7297,-155.09,75.2,60,1,10.36,US,1618461984
carnarvon,6.5456,-7.4966,71.91,98,100,2.68,CI,1618461985
talnakh,5.8446,121.1544,84.51,71,83,13.4,PH,1618461985
marcona,63.7898,74.523,38.93,100,100,25.9,RU,1618461986
ponta do sol,-46.2817,169.8464,62.01,81,18,4,NZ,1618461986
narsaq,67.45,153.6833,17.51,70,43,9.62,RU,1618461986
bredasdorp,50.6789,156.125,38.05,95,100,22.32,RU,1618461860
mweka,12.4497,125.2886,81.09,87,100,6.82,PH,1618461987
nelson bay,55.7435,-97.8558,24.8,46,20,2.3,CA,1618461836
bac lieu,42.2506,-75.833,51.01,57,90,10.36,US,1618461988
hilo,40.9725,117.9361,68.02,26,16,18.1,CN,1618461806
guiglo,70.0167,135.6,17.11,78,17,3.29,RU,1618461988
tunggol,37.15,122.3833,55.51,41,51,21.45,CN,1618461989
muravlenko,40.5982,-124.1573,46.99,81,1,2.55,US,1618461859
kaitangata,2.6708,72.8944,82.78,63,97,5.68,MV,1618461989
srednekolymsk,-27.6146,-48.5012,75.99,88,0,4.61,BR,1618461798
severo-kurilsk,-23.865,35.3833,69.8,94,20,3.91,MZ,1618461990
anito,60.3071,54.3241,50.22,80,60,7.54,RU,1618461990
thompson,43.3836,21.0336,41,81,40,4.61,RS,1618461991
broome,78.2186,15.6401,6.8,61,20,14.97,SJ,1618461796
chengde,-14.8167,-66.85,70.77,95,14,2.1,BO,1618461991
ust-kuyga,38.5167,-28.7,61.54,88,51,7.16,PT,1618461789
yatou,3.3803,-59.7968,78.01,81,92,3.42,GY,1618461992
fortuna,69.4541,-133.0374,28.4,86,90,11.5,CA,1618461992
